exercise_id,exercise_unique_name,alternative_type,alternative_exercise_id,alternative_exercise_unique_name
5fa2b2cc5ed0de000845aaba,GLUTE BRIDGE HOLD,SCALE_UP,5fa2b2ef5ed0de000845ab15,SINGLE LEG BRIDGE HOLD
5fa2b2cd5ed0de000845aabb,GLUTE BRIDGE MARCH,SAME_LEVEL,5fa2b2ef5ed0de000845ab15,SINGLE LEG BRIDGE HOLD
5fa2b2cd5ed0de000845aabc,GLUTE BRIDGE WALKOUTS,SAME_LEVEL,5fa2b2ef5ed0de000845ab15,SINGLE LEG BRIDGE HOLD
5fa2b2cf5ed0de000845aac0,FEET DOWN WIPERS,SAME_LEVEL,5fbbaaab0dd22200086aec9e,ALTERNATING LEG RAISES
5fa2b2cf5ed0de000845aac0,FEET DOWN WIPERS,SCALE_UP,5fa2b2fc5ed0de000845ab39,BICYCLE CRUNCHES
5fa2b2d25ed0de000845aac5,HIGH KNEES,SAME_LEVEL,5fa2b2d75ed0de000845aacf,JUMPING JACKS
5fa2b2d25ed0de000845aac5,HIGH KNEES,SCALE_UP,5fa2b2d65ed0de000845aace,JUMPS SQUAT
5fa2b2d55ed0de000845aacb,BANDED INCLINE PULL APART,SCALE_DOWN,5fa2b2ff5ed0de000845ab3d,BENT OVER Y RAISES
5fa2b2d65ed0de000845aace,JUMPS SQUAT,SAME_LEVEL,5fa2b2d25ed0de000845aac5,HIGH KNEES
5fa2b2d65ed0de000845aace,JUMPS SQUAT,SCALE_DOWN,5fa2b2b35ed0de000845aa82,BODYWEIGHT SQUAT
5fa2b2d75ed0de000845aacf,JUMPING JACKS,SAME_LEVEL,5fa2b2d85ed0de000845aad1,JUMPING T'S
5fa2b2d75ed0de000845aad0,ALTERNATING JUMPING LUNGES,SCALE_DOWN,5fa2b2b25ed0de000845aa7f,BODYWEIGHT FORWARD ALTERNATING LUNGES
5fa2b2d85ed0de000845aad1,JUMPING T'S,SAME_LEVEL,5fa2b2d75ed0de000845aacf,JUMPING JACKS
5fa2b2dd5ed0de000845aae6,STANDING TRICEP PUSHDOWNS,SAME_LEVEL,5fa2b2c65ed0de000845aab0,DUMBBELL SINGLE ARM TRICEPS KICKBACK
5fa2b2dd5ed0de000845aae6,STANDING TRICEP PUSHDOWNS,SCALE_DOWN,5fbbaaed0dd22200086aedcb,TRICEP EXTENSION
5fa2b2dd5ed0de000845aae6,STANDING TRICEP PUSHDOWNS,SCALE_UP,5fbbaadf0dd22200086aed91,
5fa2b2dd5ed0de000845aae6,STANDING TRICEP PUSHDOWNS,SCALE_UP,5fbbaae70dd22200086aedb1,DUMBBELLS DOUBLE ARM TRICEPS KICK BACKS
5fa2b2de5ed0de000845aaea,LAT PULL DOWN,SCALE_UP,5fa2b2a85ed0de000845aa66,BARBELL BENT OVER ROWS
5fa2b2de5ed0de000845aaea,LAT PULL DOWN,SCALE_UP,5fa96ab3fbc7f9000848fd73,DUMBBELL SINGLE ARM BENT OVER ROW
5fa2b2df5ed0de000845aaec,LEG PRESS,SCALE_DOWN,5fa2b2b35ed0de000845aa82,BODYWEIGHT SQUAT
5fa2b2df5ed0de000845aaec,LEG PRESS,SCALE_UP,5fa96d72fbc7f9000848ffa9,BARBELL BACK SQUAT
5fa2b2df5ed0de000845aaee,MACHINE CHEST FLYES,SCALE_DOWN,5fa2b2e05ed0de000845aaf0,MACHINE CHEST PRESS
5fa2b2df5ed0de000845aaee,MACHINE CHEST FLYES,SCALE_UP,5fa2b2a85ed0de000845aa63,BARBELL BENCH PRESS
5fa2b2df5ed0de000845aaee,MACHINE CHEST FLYES,SCALE_UP,5fe435788e933e00085860ef,DUMBBELLS DOUBLE ARM CHEST FLYS
5fa2b2e05ed0de000845aaf0,MACHINE CHEST PRESS,SCALE_UP,5fa2b2a85ed0de000845aa63,BARBELL BENCH PRESS
5fa2b2e05ed0de000845aaf0,MACHINE CHEST PRESS,SCALE_UP,5fbbaab70dd22200086aecd1,DUMBBELLS DOUBLE ARM BENCH PRESS
5fa2b2e15ed0de000845aaf4,MACHINE REVERSE FLYES,SCALE_UP,5fa2b2c25ed0de000845aaa1,
5fa2b2e15ed0de000845aaf6,MACHINE SHOULDER PRESS,SAME_LEVEL,5fe1cefbc1dab40008a2643c,
5fa2b2e15ed0de000845aaf6,MACHINE SHOULDER PRESS,SCALE_DOWN,5fbbaa7a0dd22200086aebbe,
5fa2b2e15ed0de000845aaf6,MACHINE SHOULDER PRESS,SCALE_UP,5fbbaacb0dd22200086aed2b,
5fa2b2e15ed0de000845aaf6,MACHINE SHOULDER PRESS,SCALE_UP,5fbbaacc0dd22200086aed31,DUMBBELLS SEATED OVERHEAD PRESSES
5fa2b2e45ed0de000845aaff,PRONE WALKOUTS,SAME_LEVEL,5fc74a667fdbe600083487f5,HIGH PLANK TO SUPERMAN
5fa2b2e45ed0de000845aaff,PRONE WALKOUTS,SCALE_DOWN,5fe1cf1f5d5d0e0008ea52e2,PLANK
5fa2b2e55ed0de000845ab01,CLOSE GRIP PUSH UPS,SAME_LEVEL,5fcf68e0785ab9000895cfa6,DIPS
5fa2b2e55ed0de000845ab01,CLOSE GRIP PUSH UPS,SCALE_DOWN,5fbbaafe0dd22200086aee0c,KNEE PUSHUPS
5fa2b2e55ed0de000845ab01,CLOSE GRIP PUSH UPS,SCALE_UP,5fe1cf18053901000829e2ae,PIKE PUSH UPS
5fa2b2e75ed0de000845ab04,HAND RELEASE PUSH UP,SAME_LEVEL,5fa2b2e75ed0de000845ab05,PUSH UPS
5fa2b2e75ed0de000845ab04,HAND RELEASE PUSH UP,SCALE_DOWN,5fbbaafe0dd22200086aee0c,KNEE PUSHUPS
5fa2b2e75ed0de000845ab04,HAND RELEASE PUSH UP,SCALE_UP,5fa2b2ea5ed0de000845ab0a,PUSH UPS WITH SHOULDER TAPS
5fa2b2e75ed0de000845ab05,PUSH UPS,SCALE_DOWN,5fbbaafe0dd22200086aee0c,KNEE PUSHUPS
5fa2b2e75ed0de000845ab05,PUSH UPS,SCALE_UP,5fe1cf18053901000829e2ae,PIKE PUSH UPS
5fa2b2ea5ed0de000845ab0a,PUSH UPS WITH SHOULDER TAPS,SCALE_DOWN,5fa2b3095ed0de000845ab51,HIGH PLANK
5fa2b2ea5ed0de000845ab0b,REVERSE BURPEE,SCALE_DOWN,5fa2b3085ed0de000845ab4e,CRUNCHES
5fa2b2eb5ed0de000845ab0c,REVERSE LUNGE KNEE DRIVE,SCALE_UP,5fa2b2d75ed0de000845aad0,ALTERNATING JUMPING LUNGES
5fa2b2ec5ed0de000845ab0e,SCAPULA PUSH UPS,SAME_LEVEL,5fa2b2e75ed0de000845ab04,HAND RELEASE PUSH UP
5fa2b2ec5ed0de000845ab0e,SCAPULA PUSH UPS,SCALE_DOWN,5fa2b3095ed0de000845ab51,HIGH PLANK
5fa2b2ee5ed0de000845ab13,SIDE TO SIDE SHUFFLE,SCALE_DOWN,5fa2b2b25ed0de000845aa80,BODYWEIGHT LATERAL LUNGE
5fa2b2ee5ed0de000845ab13,SIDE TO SIDE SHUFFLE,SCALE_UP,5fe435768d8324000831e63f,SKATER LUNGES
5fa2b2ee5ed0de000845ab14,SINGLE LEG BRIDGES,SCALE_DOWN,5fa2b2ca5ed0de000845aab9,GLUTE BRIDGES
5fa2b2ef5ed0de000845ab15,SINGLE LEG BRIDGE HOLD,SCALE_UP,5fa2b2ee5ed0de000845ab14,SINGLE LEG BRIDGES
5fa2b2f15ed0de000845ab1a,SMITH MACHINE BENCH PRESS,SCALE_DOWN,5fa2b2e05ed0de000845aaf0,MACHINE CHEST PRESS
5fa2b2f15ed0de000845ab1a,SMITH MACHINE BENCH PRESS,SCALE_UP,5fa2b2a85ed0de000845aa63,BARBELL BENCH PRESS
5fa2b2f15ed0de000845ab1a,SMITH MACHINE BENCH PRESS,SCALE_UP,5fbbaab70dd22200086aecd1,DUMBBELLS DOUBLE ARM BENCH PRESS
5fa2b2f35ed0de000845ab22,INCLINED BENCH PRESS,SCALE_DOWN,5fa2b2e05ed0de000845aaf0,MACHINE CHEST PRESS
5fa2b2f35ed0de000845ab22,INCLINED BENCH PRESS,SCALE_UP,5fbbaad10dd22200086aed4a,DUMBBELL INCLINE BENCH PRESS
5fa2b2f35ed0de000845ab24,SEATED MILITARY PRESS,SAME_LEVEL,5fbbaacc0dd22200086aed31,DUMBBELLS SEATED OVERHEAD PRESSES
5fa2b2f35ed0de000845ab24,SEATED MILITARY PRESS,SCALE_DOWN,5fa2b2e15ed0de000845aaf6,MACHINE SHOULDER PRESS
5fa2b2f35ed0de000845ab24,SEATED MILITARY PRESS,SCALE_UP,5fbbaacb0dd22200086aed2b,
5fa2b2f35ed0de000845ab24,SEATED MILITARY PRESS,SCALE_UP,5fbbaacc0dd22200086aed31,DUMBBELLS SEATED OVERHEAD PRESSES
5fa2b2f65ed0de000845ab2c,SOTT'S PRESS,SCALE_DOWN,5fa2b2e15ed0de000845aaf6,MACHINE SHOULDER PRESS
5fa2b2f65ed0de000845ab2e,SPIDERMAN PUSHUPS,SCALE_DOWN,5fa2b2e75ed0de000845ab05,PUSH UPS
5fa2b2f65ed0de000845ab2e,SPIDERMAN PUSHUPS,SCALE_DOWN,5fbbaafe0dd22200086aee0c,KNEE PUSHUPS
5fa2b2f75ed0de000845ab30,SPRAWLS,SAME_LEVEL,5fa2b30c5ed0de000845ab56,MOUNTAIN CLIMBERS
5fa2b2f75ed0de000845ab30,SPRAWLS,SCALE_UP,5fa2b2b65ed0de000845aa87,BURPEES
5fa2b2fa5ed0de000845ab34,TABLE TOP UP AND DOWN,SCALE_DOWN,5fa2b2ca5ed0de000845aab9,GLUTE BRIDGES
5fa2b2fa5ed0de000845ab34,TABLE TOP UP AND DOWN,SCALE_DOWN,5fa2b3065ed0de000845ab4a,REVERSE PLANK
5fa2b2fc5ed0de000845ab39,BICYCLE CRUNCHES,SAME_LEVEL,5fa2b2bd5ed0de000845aa97,RUSSIAN TWISTS
5fa2b2fc5ed0de000845ab39,BICYCLE CRUNCHES,SCALE_DOWN,5fa2b2b75ed0de000845aa89,SCISSORS
5fa2b2fc5ed0de000845ab39,BICYCLE CRUNCHES,SCALE_UP,5fa2b2b95ed0de000845aa8a,ALTERNATING LEG RAISE WITH CRUNCH
5fa2b2fe5ed0de000845ab3c,HIGH PLANK TOE TOUCH,SAME_LEVEL,5fa2b2d45ed0de000845aaca,
5fa2b2ff5ed0de000845ab3d,BENT OVER Y RAISES,SCALE_UP,5fa2b2d55ed0de000845aacb,BANDED INCLINE PULL APART
5fa2b2ff5ed0de000845ab3e,PRONE SWIMMERS,SAME_LEVEL,5fa96bb3fbc7f9000848febf,PRONE YTW
5fa2b3005ed0de000845ab40,KANG SQUATS,SAME_LEVEL,5fa2b3045ed0de000845ab46,PRISONER GOOD MORNING
5fa2b3005ed0de000845ab40,KANG SQUATS,SCALE_DOWN,5fa2b2b35ed0de000845aa82,BODYWEIGHT SQUAT
5fa2b3005ed0de000845ab40,KANG SQUATS,SCALE_DOWN,5fa2b3045ed0de000845ab46,PRISONER GOOD MORNING
5fa2b3045ed0de000845ab46,PRISONER GOOD MORNING,SCALE_DOWN,5fa96baffbc7f9000848febb,BIRD DOG
5fa2b3045ed0de000845ab46,PRISONER GOOD MORNING,SCALE_UP,5fa2b2a95ed0de000845aa6a,BARBELL DEADLIFT
5fa2b3045ed0de000845ab47,SPRINTER LUNGES,SCALE_DOWN,5fa2b2b35ed0de000845aa81,BODYWEIGHT REVERSE LUNGES
5fa2b3065ed0de000845ab4a,REVERSE PLANK,SCALE_UP,5fa2b2fa5ed0de000845ab34,TABLE TOP UP AND DOWN
5fa2b3065ed0de000845ab4b,REVERSE PLANK MARCH,SCALE_DOWN,5fa2b3065ed0de000845ab4a,REVERSE PLANK
5fa2b3075ed0de000845ab4c,BUTTERFLY CRUNCH,SAME_LEVEL,5fa2b2bd5ed0de000845aa97,RUSSIAN TWISTS
5fa2b3085ed0de000845ab4e,CRUNCHES,SCALE_UP,5fa2b2ea5ed0de000845ab0b,REVERSE BURPEE
5fa2b3085ed0de000845ab4f,DEADBUGS,SAME_LEVEL,5fa96baffbc7f9000848febb,BIRD DOG
5fa2b3085ed0de000845ab4f,DEADBUGS,SCALE_DOWN,5fa2b2ae5ed0de000845aa76,
5fa2b3085ed0de000845ab4f,DEADBUGS,SCALE_UP,5fa2b30b5ed0de000845ab54,HOLLOW ROCKS
5fa2b3095ed0de000845ab51,HIGH PLANK,SCALE_UP,5fa2b2ec5ed0de000845ab0e,SCAPULA PUSH UPS
5fa2b30a5ed0de000845ab53,HOLLOW HOLD,SAME_LEVEL,5fe1cf1f5d5d0e0008ea52e2,PLANK
5fa2b30a5ed0de000845ab53,HOLLOW HOLD,SCALE_DOWN,5fe1cf24c1dab40008a2643e,KNEE TUCK HOLLOW HOLD
5fa2b30a5ed0de000845ab53,HOLLOW HOLD,SCALE_UP,5fa2b30b5ed0de000845ab54,HOLLOW ROCKS
5fa2b30b5ed0de000845ab54,HOLLOW ROCKS,SCALE_DOWN,5fa2b30a5ed0de000845ab53,HOLLOW HOLD
5fa2b30b5ed0de000845ab54,HOLLOW ROCKS,SCALE_UP,5fa2b3135ed0de000845ab6a,V SITUPS
5fa2b30c5ed0de000845ab56,MOUNTAIN CLIMBERS,SCALE_DOWN,5fa2b3095ed0de000845ab51,HIGH PLANK
5fa2b3115ed0de000845ab67,SHOULDER TAPS,SAME_LEVEL,5fa96baffbc7f9000848febb,BIRD DOG
5fa2b3115ed0de000845ab67,SHOULDER TAPS,SCALE_DOWN,5fa2b3095ed0de000845ab51,HIGH PLANK
5fa2b3135ed0de000845ab6a,V SITUPS,SAME_LEVEL,5fa2b2b95ed0de000845aa8a,ALTERNATING LEG RAISE WITH CRUNCH
5fa2b3135ed0de000845ab6a,V SITUPS,SCALE_DOWN,5fbbaaab0dd22200086aec9e,ALTERNATING LEG RAISES
5fa96ab3fbc7f9000848fd73,DUMBBELL SINGLE ARM BENT OVER ROW,SCALE_DOWN,5fbbaae80dd22200086aedb7,SEATED BACK ROWS
5fa96ab3fbc7f9000848fd73,DUMBBELL SINGLE ARM BENT OVER ROW,SCALE_UP,5fa2b2a85ed0de000845aa66,BARBELL BENT OVER ROWS
5fa96af2fbc7f9000848fdcf,V TUCKINS,SAME_LEVEL,5fa2b2fc5ed0de000845ab39,BICYCLE CRUNCHES
5fa96af2fbc7f9000848fdcf,V TUCKINS,SCALE_DOWN,5fa2b3085ed0de000845ab4e,CRUNCHES
